用例ID,用例名称,用例编号
66249,用户名抢占-开启自动学习,
66250,用户名抢占-不开启自动学习,
66251,未开启CRL更新失败时，则CRL更新成功后，证书认证成功,
66252,已学习到本地的证书用户，未开启CRL更新失败时，CRL更新失败时时，证书认证失败,
66253,不开启自动学习时本次存在与证书主题相同的用户，未开启CRL更新失败时，CRL更新失败时时，证书认证失败,
66254,已学习到本地的证书用户，未开启CRL更新失败时，CRL更新失败时已在线终端不会被强制下线,
66255,已学习到本地的证书用户，未开启CRL更新失败时，CRL更新失败时时，证书认证成功,
66256,不开启自动学习时本次存在与证书主题相同的用户，未开启CRL更新失败时，CRL更新失败时已在线终端不会被强制下线,
66257,不开启自动学习时本次存在与证书主题相同的用户，未开启CRL更新失败时，CRL更新失败时时，证书认证成功,
66258,已学习到本地的证书用户，未开启	同OCSP服务器连接失败时允许认证通过，OCSP连接失败时，证书认证失败,
66259,不开启自动学习时本次存在与证书主题相同的用户，未开启	同OCSP服务器连接失败时允许认证通过，OCSP连接失败时，证书认证失败,
66260,已学习到本地的证书用户，未开启	同OCSP服务器连接失败时允许认证通过，CRL更新失败时时，证书认证成功,
66261,不开启自动学习时本次存在与证书主题相同的用户，未开启	同OCSP服务器连接失败时允许认证通过，CRL更新失败时时，证书认证成功,
66262,导入服务器证书，输入正确的密码，导入成功,
66263,导入服务器证书，输入正确的密码，导入失败,
66264,认证失败原因：未启用证书认证,
66265,在证书认证中未找到用户,
66266,OCSP服务离线，无法验证证书状态,
66267,兜底认证失败日志,
66268,身份源AD采集任务-新增-立即采集-成功-用户关联安全组,
66269,身份源AD采集任务采集任务-新增-定时采集（每隔）-成功--用户未关联安全组,
66270,身份源AD采集任务-编辑-AD，修改sysmode从group变更到ou,
66271,身份源AD采集任务-删除部分用户/用户组-重新采集,
66272,已采集到本地的AD用户，证书认证时不会更新用户组,
66273,证书认证后，VLAN授权下发,
66274,身份源AD采集任务-采集同名用户组,
